Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,Latitude,Longitude,cluster
Indonesia,Parung,136.25,3.5,51.25,2.0,135,-6.4405056,106.71719959625597,1
Indonesia,Majalaya,84.0,2.0,48.0,1.0,84,-7.0495197,107.7615982,1
Indonesia,Pandaan,136.25,3.0,51.25,2.0,135,-7.6532322,112.6872932,1
Indonesia,Palimanan,67.0,1.0,48.0,1.0,67,-6.7088893,108.431734,1
Indonesia,Labuhan Deli,103.0,2.0,51.25,1.0,103,3.7316806,98.6734915,1
Indonesia,Pamulang,136.25,3.5,51.25,2.5,135,-6.33321675,106.7226635889224,1
Indonesia,Sepatan,136.25,3.5,51.25,2.5,135,-6.12319355,106.58398020360181,1
Indonesia,Salatiga,83.0,2.0,49.0,1.0,83,-7.3302642,110.4995353,1
Malaysia,Banting,89.0,1.0,36.0,1.0,89,2.8027574,101.4956767,1
Philippines,Bagting,97.0,1.0,32.0,1.0,97,15.5557553,121.2451474,1
Malaysia,Kuala Lumpur,76.0,2.0,41.0,2.0,76,3.1516964,101.6942371,1
Indonesia,Lebaksiu,86.0,2.0,51.25,1.0,86,-7.0469368,109.1467653,1
Malaysia,Kuah,104.0,2.0,51.25,0.0,104,6.3224573,99.8475021,1
Indonesia,Ciawi,136.25,3.5,51.25,2.5,135,-6.7017568999999995,106.88194914940645,1
Malaysia,Kampar,60.0,1.0,43.0,1.0,60,4.3,101.15,1
Indonesia,Cilegon,136.25,3.0,51.25,2.5,135,-6.017389,106.0537688,1
Indonesia,Gresik,115.0,1.0,43.0,1.0,115,-5.79334655,112.6598223201143,1
Indonesia,Sukabumi,97.0,2.0,51.25,1.0,97,-6.9199289,106.9265095,1
Indonesia,Bojonegoro,104.0,2.0,49.0,0.0,104,-7.158753000000001,111.88660450042843,1
Indonesia,Rengasdengklok,98.0,2.0,51.25,1.0,98,-6.1377011,107.301754,1
Indonesia,Ungaran,76.0,1.0,42.0,1.0,76,-7.1290892,110.4038912,1
Indonesia,Cibinong,136.25,3.5,51.25,2.5,135,-6.48243585,106.83832714913994,1
Indonesia,Cianjur,96.0,2.0,51.25,1.0,96,-6.8246244,107.14268481408371,1
Indonesia,Cisaat,136.25,2.0,51.25,1.0,135,-6.9178947,106.867208,1
Indonesia,Bulakamba,83.0,2.0,45.0,1.0,83,-6.8748195,108.9566007,1
Indonesia,Weru,68.0,2.0,49.0,0.0,68,-6.8781242,112.4507761,1
